Date,Price
4/5/2016,0.57
4/6/2016,0.57
4/7/2016,0.57
4/10/2016,0.59
4/11/2016,0.58
4/12/2016,0.58
4/13/2016,0.58
4/14/2016,0.58
4/17/2016,0.57
4/18/2016,0.57
4/19/2016,0.58
4/20/2016,0.56
4/21/2016,0.58
4/24/2016,0.57
4/25/2016,0.56
4/26/2016,0.56
4/27/2016,0.56
4/28/2016,0.56
5/1/2016,0.56
5/2/2016,0.54
5/3/2016,0.54
5/4/2016,0.54
5/8/2016,0.52
5/9/2016,0.54
5/10/2016,0.6
5/11/2016,0.62
5/12/2016,0.64
5/15/2016,0.62
5/16/2016,0.6
5/17/2016,0.61
5/18/2016,0.59
5/19/2016,0.58
5/22/2016,0.58
5/23/2016,0.58
5/24/2016,0.58
5/25/2016,0.6
5/26/2016,0.59
5/29/2016,0.58
5/30/2016,0.58
5/31/2016,0.58
6/1/2016,0.61
6/2/2016,0.61
6/5/2016,0.59
6/6/2016,0.6
6/7/2016,0.6
6/8/2016,0.62
6/9/2016,0.61
6/12/2016,0.61
6/13/2016,0.6
6/14/2016,0.61
6/15/2016,0.61
6/16/2016,0.61
6/19/2016,0.61
6/20/2016,0.6
6/21/2016,0.61
6/22/2016,0.6
6/23/2016,0.59
6/26/2016,0.58
6/27/2016,0.59
6/28/2016,0.57
6/29/2016,0.59
6/30/2016,0.6
7/3/2016,0.6
7/4/2016,0.59
7/10/2016,0.59
7/11/2016,0.59
7/12/2016,0.59
7/13/2016,0.6
7/14/2016,0.6
7/17/2016,0.59
7/18/2016,0.59
7/19/2016,0.61
7/20/2016,0.6
7/21/2016,0.6
7/24/2016,0.59
7/25/2016,0.6
7/26/2016,0.59
7/27/2016,0.6
7/28/2016,0.6
7/31/2016,0.59
8/1/2016,0.6
8/2/2016,0.6
8/3/2016,0.6
8/7/2016,0.61
8/8/2016,0.61
8/9/2016,0.61
8/10/2016,0.61
8/11/2016,0.6
8/14/2016,0.6
8/15/2016,0.6
8/16/2016,0.6
8/17/2016,0.61
8/18/2016,0.6
8/21/2016,0.61
8/22/2016,0.6
8/23/2016,0.6
8/24/2016,0.59
8/25/2016,0.6
8/28/2016,0.6
8/29/2016,0.6
8/30/2016,0.6
8/31/2016,0.61
9/1/2016,0.61
9/4/2016,0.6
9/5/2016,0.61
9/6/2016,0.6
9/7/2016,0.61
9/8/2016,0.6
9/15/2016,0.59
9/18/2016,0.59
9/19/2016,0.59
9/20/2016,0.59
9/21/2016,0.6
9/22/2016,0.61
9/25/2016,0.6
9/26/2016,0.59
9/27/2016,0.58
9/28/2016,0.59
9/29/2016,0.6
10/3/2016,0.58
10/4/2016,0.58
10/5/2016,0.59
10/6/2016,0.6
10/9/2016,0.59
10/10/2016,0.59
10/11/2016,0.6
10/12/2016,0.6
10/13/2016,0.6
10/16/2016,0.59
10/17/2016,0.59
10/18/2016,0.59
10/19/2016,0.6
10/20/2016,0.6
10/23/2016,0.59
10/24/2016,0.61
10/25/2016,0.61
10/26/2016,0.63
10/27/2016,0.63
10/30/2016,0.63
10/31/2016,0.62
11/1/2016,0.62
11/2/2016,0.62
11/6/2016,0.63
11/7/2016,0.64
11/8/2016,0.66
11/9/2016,0.65
11/10/2016,0.67
11/13/2016,0.66
11/14/2016,0.64
11/15/2016,0.65
11/16/2016,0.65
11/17/2016,0.65
11/20/2016,0.64
11/21/2016,0.67
11/22/2016,0.66
11/23/2016,0.68
11/24/2016,0.68
11/27/2016,0.67
11/28/2016,0.66
11/29/2016,0.67
11/30/2016,0.67
12/4/2016,0.66
12/5/2016,0.66
12/6/2016,0.67
12/7/2016,0.66
12/8/2016,0.69
12/12/2016,0.7
12/13/2016,0.69
12/14/2016,0.68
12/15/2016,0.69
12/18/2016,0.69
12/19/2016,0.69
12/20/2016,0.67
12/21/2016,0.67
12/22/2016,0.66
12/25/2016,0.67
12/26/2016,0.67
12/27/2016,0.67
12/28/2016,0.66
12/29/2016,0.66
1/2/2017,0.66
1/3/2017,0.67
1/4/2017,0.65
1/5/2017,0.66
1/8/2017,0.68
1/9/2017,0.69
1/10/2017,0.69
1/11/2017,0.74
1/12/2017,0.76
1/15/2017,0.74
1/16/2017,0.74
1/17/2017,0.75
1/18/2017,0.75
1/19/2017,0.79
1/22/2017,0.85
1/23/2017,0.8
1/24/2017,0.81
1/25/2017,0.77
1/26/2017,0.8
1/29/2017,0.79
1/30/2017,0.79
1/31/2017,0.79
2/1/2017,0.78
2/2/2017,0.78
2/5/2017,0.79
2/6/2017,0.79
2/7/2017,0.79
2/8/2017,0.79
2/9/2017,0.77
2/12/2017,0.78
2/13/2017,0.76
2/14/2017,0.78
2/15/2017,0.76
2/16/2017,0.76
2/19/2017,0.76
2/20/2017,0.75
2/21/2017,0.74
2/22/2017,0.76
2/23/2017,0.76
2/26/2017,0.75
2/27/2017,0.77
2/28/2017,0.77
3/1/2017,0.76
3/2/2017,0.77
3/5/2017,0.75
3/6/2017,0.76
3/7/2017,0.75
3/8/2017,0.74
3/9/2017,0.73
3/12/2017,0.73
3/13/2017,0.72
3/14/2017,0.73
3/15/2017,0.71
3/16/2017,0.72
3/19/2017,0.72
3/20/2017,0.73
3/21/2017,0.73
3/22/2017,0.72
3/23/2017,0.72
3/26/2017,0.71
3/27/2017,0.64
3/28/2017,0.63
3/29/2017,0.63
3/30/2017,0.63
4/2/2017,0.64
4/3/2017,0.64
4/4/2017,0.66
4/5/2017,0.66
4/6/2017,0.65
4/9/2017,0.65
4/10/2017,0.63
4/11/2017,0.62
4/12/2017,0.62
4/13/2017,0.61
4/16/2017,0.6
4/17/2017,0.6
4/18/2017,0.6
4/19/2017,0.6
4/20/2017,0.6
4/24/2017,0.59
4/25/2017,0.59
4/26/2017,0.61
4/27/2017,0.61
4/30/2017,0.62
5/1/2017,0.61
5/2/2017,0.62
5/3/2017,0.6
5/4/2017,0.61
5/7/2017,0.6
5/8/2017,0.59
5/9/2017,0.61
5/10/2017,0.6
5/11/2017,0.6
5/14/2017,0.6
5/15/2017,0.59
5/16/2017,0.59
5/17/2017,0.59
5/18/2017,0.59
5/21/2017,0.59
5/22/2017,0.58
5/23/2017,0.58
5/24/2017,0.6
5/25/2017,0.58
5/28/2017,0.56
5/29/2017,0.58
5/30/2017,0.58
5/31/2017,0.59
6/1/2017,0.6
6/4/2017,0.59
6/5/2017,0.59
6/6/2017,0.58
6/7/2017,0.61
6/8/2017,0.6
6/11/2017,0.62
6/12/2017,0.64
6/13/2017,0.68
6/14/2017,0.66
6/15/2017,0.67
6/18/2017,0.67
6/19/2017,0.67
6/20/2017,0.67
6/21/2017,0.65
6/22/2017,0.64
6/28/2017,0.63
6/29/2017,0.64
7/2/2017,0.64
7/3/2017,0.63
7/4/2017,0.64
7/5/2017,0.64
7/6/2017,0.64
7/9/2017,0.64
7/10/2017,0.65
7/11/2017,0.64
7/12/2017,0.65
7/13/2017,0.66
7/16/2017,0.66
7/17/2017,0.66
7/18/2017,0.67
7/19/2017,0.66
7/20/2017,0.67
7/23/2017,0.68
7/24/2017,0.67
7/25/2017,0.68
7/27/2017,0.67
7/30/2017,0.67
7/31/2017,0.68
8/1/2017,0.69
8/2/2017,0.68
8/3/2017,0.7
8/6/2017,0.71
8/7/2017,0.7
8/8/2017,0.7
8/9/2017,0.72
8/10/2017,0.72
8/13/2017,0.7
8/14/2017,0.68
8/15/2017,0.68
8/16/2017,0.68
8/17/2017,0.68
8/20/2017,0.68
8/21/2017,0.68
8/22/2017,0.69
8/23/2017,0.69
8/24/2017,0.69
8/27/2017,0.68
8/28/2017,0.68
8/29/2017,0.68
8/30/2017,0.67
9/4/2017,0.7
9/5/2017,0.69
9/6/2017,0.69
9/7/2017,0.7
9/10/2017,0.69
9/11/2017,0.7
9/12/2017,0.72
9/13/2017,0.73
9/14/2017,0.72
